"Ex1","Ex2","Ex3","Ex4"
1841,12237,1646,6549
1847,13481,1712,6605
2383,12610,1765,26184
2559,12790,1751,22578
1646,17947,1720,22786
2205,39179,1603,27423
2025,38808,2261,21783
1872,12042,1560,26289
2079,12518,1946,6947
1817,39143,1663,22302
1715,12761,2438,24966
2232,12371,1846,6159
2032,14725,2383,8221
2095,12357,1656,15979
1733,11754,1763,21873
1669,11593,2507,7000
1983,12511,1667,26804
1739,29375,2130,25584
1747,12804,2113,26463
1846,37607,1849,19466
1804,12705,2055,17864
2319,29541,1692,6816
1634,41906,1727,8338
2646,42265,1666,6965
1954,12630,1663,17537
1746,39975,2333,27290
1748,13283,1885,21238
1759,12166,2123,22270
1800,11706,1894,7129
1676,10974,1739,28650
1813,12315,1781,7411
1621,12459,2532,6610
28002,11806,1792,6886
1778,11595,2107,26744
1813,38287,2197,27333
1755,11437,1872,32226
2479,12025,2134,7378
1797,36820,1985,6874
2045,12505,1952,23376
1909,11804,2016,20559
2395,13478,1725,6580
1831,36644,2586,24154
1891,12898,1905,23255
1957,12038,2099,32030
2021,12885,1728,33890
1883,38448,1727,6522
2400,39933,1887,26454
1703,11117,1722,23408
1748,12291,1785,31978
1958,13506,1871,23252
1775,13752,1784,21005
1755,11534,1829,19357
1579,11768,2400,23613
1675,12129,1801,22945
1777,12224,1899,24758
1824,37783,1782,7063
1835,12724,2149,36302
2315,12158,1694,35950
1831,13382,2248,19767
1823,33358,2215,7181
1826,11531,1870,21807
2038,12180,2166,7481
1740,11873,1771,6922
1705,12292,2237,7065
1828,40532,1995,20927
1728,12585,1894,19865
2236,12134,1814,23289
1778,12928,1873,24606
1908,12349,1774,6649
1835,13355,1967,7091
1793,12893,1727,26997
1732,12720,1826,25296
1898,11906,1772,35535
1720,33552,1896,21834
1732,12642,1818,33619
1619,11837,1806,26837
1730,12484,1841,25244
2756,41424,1832,22079
1829,37204,1763,9032
1931,11779,1856,17587
1764,12461,1723,7703
2318,11777,1608,25955
1906,41279,1859,24880
1648,11966,1854,6911
2123,12370,2007,6737
1661,12693,1863,28716
1787,11957,1880,24735
1983,11186,2817,23758
2329,11442,1947,7201
1730,14583,2286,21892
1841,12540,2449,33785
1968,25173,2087,19475
1831,11439,1700,25343
1727,14785,1863,10984
1728,35842,1860,19396
1670,12457,2008,7314
1693,15501,1829,27481
1833,12255,1984,7766
1755,12733,1861,7512
1760,11037,1773,19983
1893,12850,1811,7213
1693,12697,1998,21284
1744,12392,1814,29928
1892,18165,2148,22354
1998,12383,1817,7112
2154,35365,1929,6515
1805,35645,1794,6786
1753,12679,1740,7180
1826,13614,2528,18780
2204,11700,1834,25221
1796,11477,1845,6577
2472,24141,1590,7702
1813,11582,1716,29733
1675,11364,1722,23950
1898,11705,1676,18729
1888,12192,1793,25356
1769,45180,1859,6132
1837,11352,2045,24343
2372,12187,1772,31268
2266,11689,1812,29316
1674,11585,1809,19448
1833,10704,1808,23264
1769,39727,1877,23387
1812,14017,1843,7698
1808,11435,1835,21849
1651,13119,1867,20537
2149,13250,2203,7429
1941,43332,2370,23796
1810,11541,1680,32514
1793,12578,2711,34644
2247,11729,2153,32299
1737,11349,1736,25117
2265,12540,1678,25930
1911,15620,1691,14994
2207,11998,1790,28271
2526,11959,1643,13299
2723,40388,2286,28387
1912,11825,1791,24945
1858,12281,2114,7167
1722,12989,1889,6295
1968,12939,1561,29039
1706,12563,1754,27288
2137,11444,1687,27563
2156,11434,1887,26299
2123,12145,1882,25597
2680,12457,1839,7768
1708,13256,2027,6640
1827,11659,1547,6750
1784,43015,1774,24618
1739,13621,1675,6210
1731,12896,1722,20349
1817,41128,2203,22934
1687,12650,1695,34610
1910,12358,1745,24559
1621,30716,1768,23495
1697,11930,2348,29982
1753,14657,1604,22739
1784,37682,1806,7661
1994,11746,1832,26821
2452,17445,1870,16769
1839,11535,1755,7611
1697,30688,1790,6356
2320,12477,2420,26548
2449,11714,1826,19803
1770,14485,1812,26832
1988,36444,1938,24425
1883,12783,2463,22829
1747,31003,1911,24496
1866,11596,1920,7377
1717,14727,1848,27489
1952,13424,2107,7043
1834,11402,1879,26905
1928,11881,2168,19178
1757,35237,2182,21685
2608,12032,1841,24173
2038,13122,2635,24866
1840,12796,1656,23528
1813,11266,1665,22159
1678,12420,1789,23330
2085,12846,2094,23193
2037,36457,2095,21721
1881,36382,1895,25915
1752,12466,1740,35450
1708,12945,1689,24481
2259,43140,1784,6493
2017,12060,1696,27133
1863,12284,1808,31209
1929,12430,1800,7108
1702,13828,1643,26486
1796,38242,1778,18664
1891,12866,2235,27267
1666,39719,1861,6929
2103,12321,1805,7409
1732,11755,1790,18962
1841,10954,1799,6725
1744,11806,2043,6582
1855,12018,1994,6608
1882,10569,1849,7848
2409,31477,1793,21377
2029,29905,1710,18938
1626,12169,2033,32871
1864,11944,1727,24977
1858,37063,1972,6865
2287,12378,1771,29365
1731,40885,1908,28277
2229,12531,1846,31359
1863,11944,1875,26745
1779,11852,1771,34922
1754,28606,1637,21413
1852,12606,1709,7233
1779,12533,1575,35790
2478,12468,1887,22064
1868,12512,1796,6551
1848,12573,1678,38247
1667,11694,1727,19834
1794,13977,1807,26237
1829,38494,2313,20107
1930,11672,1729,25030
2286,12139,2425,20100
1934,12641,1715,23062
1748,12860,1511,7301
1966,12016,1785,17468
2394,11951,1721,25407
1771,11619,1758,25767
1579,12797,2399,7443
2158,13578,1749,6639
2227,11826,2039,26560
1633,11992,2237,22559
2315,11906,1736,5808
2022,11806,2117,26637
2008,43497,1787,7039
1716,37797,2548,6979
1910,41275,1981,23781
1882,12591,2238,22655
2231,21866,1746,23368
1817,35415,1753,25306
1924,11898,1854,7079
2109,10909,1857,27920
2199,11921,1851,27622
1788,13680,2114,26134
2556,11601,1745,7587
2059,39163,1783,5375
1744,13028,2342,23984
1809,12544,2206,30725
1752,12361,1712,26608
1768,11989,1664,26917
1914,11847,1761,21435
1754,12043,1634,28046
1891,12561,1927,7410
1840,12811,1950,23909
1861,14299,1796,22787
1849,40613,1706,25211
2285,11562,1759,25267
1750,37386,1905,20683
2170,12368,1952,7323
1558,12579,2001,27538
1844,12542,2431,6927
1766,13132,1979,7508
1702,14238,1858,19330
2037,11310,1751,30865
1848,12223,2388,20400
1663,12099,2086,23682
2047,12998,1540,31913
1725,12354,1896,6354
1898,38203,1751,19452
1773,12364,2399,25001
1675,13108,1890,6008
2312,12279,1873,31207
2530,28153,2093,20937
2007,35513,1900,22476
1804,11303,1684,24351
1957,41548,1797,6789
1996,12610,1677,7207
2180,12842,1909,28028
2051,12399,1843,27168
2283,39239,1920,24865
1798,12225,1820,23375
1873,13389,1796,28518
1851,11613,2685,6889
1799,12289,1955,6466
1896,11472,2027,30955
2045,16501,2128,7867
1776,12375,1605,26451
2632,12344,2121,7462
1902,36543,2262,21807
2456,15165,1890,24509
1625,13139,1682,28721
1646,40893,1976,6250
1673,21787,1936,19014
1706,15791,1864,18480
1816,40336,2662,26957
1853,12924,1875,19838
1981,11565,1783,22264
1884,12184,2043,15855
1753,13935,1907,6327
1827,12182,2023,6569
1938,12162,1700,21693
1816,11544,1860,6948
2273,13241,1772,32764
1766,12790,2216,7757
1628,12918,1785,37906
2038,11899,1853,6729
1891,11618,2390,7619
1680,13927,1837,24889
2009,40074,1861,25750
2115,11128,1717,25618
1781,12142,1765,6962
2066,36034,2203,16116
1937,11461,1776,7417
2492,11282,1739,26127
2031,12001,1708,23999
1893,11696,1796,6824
1779,41140,1963,6501
1767,14162,1753,23460
1842,37426,1697,6973
1715,13068,1875,33369
2124,12951,1806,23277
2026,14676,2485,21891
1891,12757,2194,18448
1882,11291,1713,20194
1824,12774,2356,6937
1897,36131,2475,23778
2233,12145,2240,27046
2195,38785,1885,6751
1760,12277,2180,22362
1672,37260,1850,28288
1542,14107,1757,23700
1798,14139,2025,25426
1940,11138,2335,20827
2536,11433,1884,33417
1680,12010,2339,21062
1831,11639,1748,7298
2268,40440,2173,6652
1811,11986,1688,25969
1736,38115,1774,17832
1937,10836,1689,21327
1801,13891,1999,23551
1899,12056,1836,30732
2129,12513,1764,21370
1911,40750,1826,21258
1883,12033,2335,7496
1781,12089,2256,25090
1860,12511,2528,25724
1988,11774,2096,26348
1777,12209,1975,21476
1959,11919,1666,31733
1841,12953,1975,7318
1755,14510,2336,17252
2066,11728,2491,6953
1888,13066,1725,7057
2214,12091,1735,24504
2567,11357,1788,19670
1795,33545,1960,6999
2308,27896,1910,21461
1814,12551,1670,6177
1868,14972,2118,26365
1734,11086,1931,20982
1767,15938,1733,29461
1805,11778,2221,25418
1997,11479,1920,21115
1970,11440,1785,24681
2278,12266,1747,7484
2100,11516,2379,23015
1865,12242,1828,6810
1751,11803,2112,23776
1845,12257,2191,6983
1842,11882,1702,20210
2252,29069,1921,22259
1626,11579,1869,7022
2058,12571,1766,7212
1810,12211,1870,7390
1722,12856,1779,7324
2385,13139,1813,7478
2105,12572,1817,7152
1864,11751,2178,31493
1757,12498,2134,7321
1657,11421,1627,6173
1618,11539,1914,19827
2152,11993,2134,7299
1864,35082,1797,17764
1745,13190,2000,23679
1770,12445,1636,20431
1831,41640,1903,6811
2228,12284,1740,33363
1540,11871,1798,27342
1900,11957,1926,26642
1756,12431,2327,6270
1756,36370,1807,6283
1824,11234,2271,21507
1811,13238,1985,21856
2497,13162,1968,6963
1671,11668,1893,6933
1723,36462,1805,29988
2583,12355,1780,22645
2471,13514,1693,7496
1773,11879,1782,6667
2281,12014,1663,36267
1686,11585,1802,23902
1617,12993,1204,23234
1710,14417,1733,6608
2016,11639,1505,33338
1840,38850,1799,23402
2030,29902,1863,9202
1804,12590,1588,37843
2187,13298,1829,7019
1734,11836,1850,6649
1859,14291,1867,27536
1764,13134,1686,6629
2371,13071,1648,7279
1811,37819,1825,5162
1903,12155,1658,23394
1710,10805,2047,21652
1825,12028,2097,6523
1547,15592,2150,21069
1769,41668,1816,7262
1866,13511,1907,21270
1916,29609,1759,7353
1671,11580,1631,20474
2233,14399,2226,26577
1982,11712,2176,7137
1876,40710,2079,6301
1778,39238,2099,23002
2294,12033,1856,34776
2366,11802,1677,7317
2732,12086,1880,23073
1809,10887,1815,23630
1643,11462,2396,20744
1800,12186,1777,26733
1845,11519,1717,24716
1975,11744,2682,6626
2258,42401,2043,24478
2048,10919,2094,20134
1749,11549,1833,24432
1901,13640,1716,26610
1816,11845,1739,26199
2154,12843,2369,27183
2395,13478,1924,28597
1773,32060,2148,7125
1763,12736,1716,23350
1662,13836,1976,7290
1807,34450,2344,23993
1868,12064,1828,32006
1926,11554,1759,29372
1905,13942,1888,26021
1740,11353,2720,24295
1946,12610,2434,33835
1793,17853,1743,20306
1930,11884,1939,6718
1759,12695,2247,7508
1860,13581,1746,7500
1806,12698,1823,33785
2029,12204,1680,28446
2107,12119,1946,25889
2391,11782,1720,20852
1591,11793,1813,28961
1728,11647,1726,7100
1872,12435,1669,24067
1869,12627,1757,23741
2428,12867,1723,6953
1584,14204,1790,20054
2409,13853,2105,24793
2548,12219,1896,6443
1872,16460,1818,7132
1911,10983,1738,24146
1987,41056,1974,27272
1922,10430,1843,20228
1929,14158,1909,22046
1813,11538,1662,6966
1827,12114,2363,7442
1832,11217,2358,27480
1769,13527,1874,31499
1821,12734,1868,21350
1848,12542,1853,21745
2570,12773,1907,24392
1744,12163,1727,26827
1833,13102,1666,22516
1776,12099,1842,7375
2254,14459,2191,22997
1682,11862,1846,7071
1981,12066,1844,25728
1967,36568,1766,14739
2273,11122,1814,20798
1851,12067,1861,24457
1976,11728,1589,24232
1818,12240,2401,30371
1987,12300,1870,6612
1844,11406,2176,17787
1780,41240,2171,23068
1832,14486,1807,27506
1930,14573,1943,6153
1855,10185,1710,21375
1860,11504,1714,23868
2190,12787,1938,18900
2544,12186,1731,23626
1834,12625,2173,23491
1719,13047,2225,27579
1785,34354,1836,6643
2436,11889,1741,24329
1916,38147,2289,19852
2182,37873,26881,19631
1767,12651,1844,23653
1905,14209,1759,31777
2421,11700,1658,35701
1772,30871,1813,7751
1688,11611,1844,22936
1950,11186,1858,25456
2460,12256,2317,24503
1793,11237,1761,22705
1736,11150,2011,25005
2334,13754,1705,24823
1612,30564,1805,24288
1717,12466,2397,25818
2028,31071,1782,5988
1845,11798,2410,32899
1740,15127,1873,7524
2675,11680,1731,23889
2111,12461,1835,35720
1739,12615,1846,23782
2361,12006,1872,32900
1962,11437,2027,23740
1692,42717,1707,20734
1858,14766,1833,7550
1603,39676,2275,22522
2339,11627,1867,20795
1930,14688,1869,22128
2145,13394,2328,5611
1682,11137,1724,25625
1727,11784,1979,6936
1676,13268,1907,29385
1931,11961,1683,20572
2003,11595,1559,24510
1731,11642,2446,22776
1792,14354,1755,7526
2375,12101,2519,7070
1825,11897,1876,24204
2184,12140,2078,21644
1887,11950,2449,28321
2264,12810,1714,31405
2204,12613,2196,24204
1686,12074,1633,22189
1685,41444,2129,24299
1681,41542,1943,7125
1991,11952,1744,33801
1674,12012,1781,25371
1528,12078,2074,6872
1973,12416,1748,28983
2160,12881,2319,7051
1710,12522,1893,33181
1924,33754,2000,5587
1686,13330,1837,23765
2763,13238,2018,20260
1874,11628,1991,23217
1926,12519,1762,37606
1765,10910,1993,6958
1824,35094,1834,22716
2526,27668,1859,5983
1774,11542,1797,19526
2096,13509,1834,22666
1948,11989,1775,27515
1822,41257,1874,30735
2270,12093,2098,23909
1727,29288,2186,8512
1901,37584,1999,5814
1761,12103,1905,6914
2405,41529,1754,7673
1769,11724,1696,23593
1775,12797,1564,7007
2268,12433,2314,6750
1806,14706,1694,28929
2615,29167,1700,12100
1779,11947,2052,21461
1702,38507,2219,20236
1704,41267,1794,19779
1711,11237,1795,25593
1831,13082,1714,37953
1834,44003,2412,6931
1736,13138,1730,25854
2902,38007,2313,6369
2623,12656,1692,29141
1924,12326,1833,24267
2134,11842,2160,19377
1940,11060,1667,27529
2386,32793,1638,6174
1928,11506,2103,30953
2354,11366,1809,22912
1773,12209,1819,24268
1803,40801,1816,21223
1772,33428,1871,25458
2576,11296,1871,20794
1765,38734,1770,7042
1710,11329,1558,25605
1752,12253,1855,27231
2558,12730,2365,21738
1633,12589,2109,27692
1990,12214,1692,26895
1718,12475,2408,28715
2627,35166,2470,22564
1962,12902,1777,25068
1875,12668,1759,31754
1739,12173,1718,27591
2610,11999,1828,26194
1751,11453,1824,26665
2359,11802,1878,25361
2279,11776,2320,21013
1589,12356,1729,8396
1881,14213,1859,6926
1820,12559,1738,26213
1862,12170,1652,23771
1699,12301,2459,24751
1843,14107,1530,21565
1825,31120,1803,23202
1822,12666,1846,7575
1868,12954,2812,26553
1758,12410,1623,23711
1982,43304,1773,22276
2062,11797,2071,32669
1752,37098,1853,6609
1873,12376,1832,28061
2130,11828,2412,25862
1896,12872,1871,21734
1764,38962,1861,6696
2410,12097,2549,23124
1736,38398,1778,23300
1803,14986,1911,26219
1735,12083,1687,6973
1807,13051,1956,25037
1658,12628,1688,21472
1779,10642,2794,6730
2145,12231,2049,6499
1798,13933,2732,7201
1922,10844,28560,26730
1686,41157,1788,22699
1742,12376,1939,30419
1729,12960,1803,17908
1972,12385,1723,33208
2419,10983,2419,28135
1787,16867,1716,8033
2151,11454,1773,14396
1895,14997,1948,24265
2582,39162,1958,6504
1924,12574,1753,31786
1881,12961,1697,7508
1761,12621,1735,25438
1648,13661,2069,6904
1934,13197,1754,7435
1750,12177,1934,26157
2782,39629,2539,24452
2172,11421,1453,25139
1992,11935,16761,27404
1928,14139,1755,7492
1682,11689,1767,24999
1810,12094,1700,7238
1710,12822,1746,22155
1896,41931,2076,28634
2249,15138,1710,23851
1906,12364,1678,24502
1828,12683,1805,7311
1852,12672,2083,6678
1873,38009,1881,29359
2336,33306,1699,6194
1817,12426,2238,6989
1789,11195,1695,25571
1667,29260,1818,6797
1785,36405,2034,26504
2624,34756,1643,21751
1824,41364,1816,23716
2087,34789,2164,6946
2641,12556,2433,23889
1866,35872,1619,24519
1935,11679,1737,26318
2021,11742,1820,34384
2146,12365,1885,9911
1668,40578,1646,7321
1772,10775,1812,21424
1868,12028,2321,7624
1760,35084,1788,6262
1616,16591,2160,29128
1617,38553,1756,21463
1795,36980,1750,24911
1839,13272,1672,25410
2260,15160,1711,8330
1882,11914,1910,21608
2468,12513,1943,28428
1807,11598,2299,23654
1859,12377,1795,23103
1857,12675,1817,19684
1824,11897,1678,6824
2294,11992,2016,26115
2458,40431,1837,6566
1761,12222,2151,27266
1745,12720,2238,33698
1830,12943,1833,24710
2063,14293,2341,7350
1757,40458,1907,24895
1849,12448,2046,6928
1820,12032,1471,6594
1793,44358,2026,6898
1924,12420,1734,24243
1948,11740,2199,6057
1987,28056,1951,6442
2641,13928,1677,28055
2245,11929,1954,24173
1678,13958,1647,26639
1741,11906,2291,6380
1764,12472,1931,23472
1849,12393,1720,6372
2277,12691,1992,25705
1883,12176,1831,26670
1889,9902,2588,6115
1830,13287,1477,23828
1756,12085,2070,20903
1862,11418,1647,24085
2311,40056,2237,22149
2319,11316,2046,22452
2251,37777,1857,22476
2014,11283,1877,19836
2243,12371,1714,24100
2241,11869,1778,25488
1856,12024,1793,21248
2036,13872,2682,26321
1892,12241,1659,24022
1632,13029,1836,23240
1913,12356,1668,36372
2428,12216,2052,24982
2145,12487,2265,23311
1702,12344,2592,7703
2400,12907,1633,30542
2255,11701,1845,34100
1813,13709,1468,7183
1731,11886,1724,6729
2244,11958,1921,30698
1868,14441,1815,28361
1835,13027,1742,6459
2020,13140,1880,7648
1756,13807,2104,21450
2165,12524,1819,33660
1742,13800,1863,32329
2467,12734,2169,6116
2333,36493,1752,6104
1490,12134,1708,7139
1859,11692,1973,6997
1769,35100,1695,23810
1777,30074,2054,19393
1784,12053,2499,26174
2297,13190,1765,26735
1819,12232,1616,23915
2471,41816,2143,28036
2265,36339,1651,25690
1773,39750,2569,6296
2399,12639,1773,23623
1741,38594,1762,20208
1835,11856,2186,7282
1743,43581,1623,6560
1950,12262,1788,7352
1695,12336,1829,6900
2079,12980,1650,6547
1927,14226,1640,7218
1736,13134,1628,7656
2033,12837,1744,6846
1832,12457,1855,21666
1747,13689,2561,7526
1860,15165,1764,22975
2134,12142,1743,7512
1858,12177,1758,30347
2460,11503,1813,33079
1864,12411,1947,6680
1752,11340,1858,30351
2331,12305,1892,21167
1820,12935,1857,6274
1824,12163,1691,6972
1887,12065,1766,7741
2032,28776,1815,24118
2266,13144,1837,21836
1827,12675,2129,24279
1829,12229,1714,30052
2383,11859,1922,7456
1531,38755,1736,6778
2254,11478,1584,6332
2555,11468,1772,20607
1754,13091,1935,7197
1723,11970,1539,22396
2027,11270,1916,16326
1970,13388,1852,7528
1713,11629,1806,21924
1735,12602,1706,7042
2073,11517,1614,21277
2649,12469,1730,28351
1842,11557,2110,30476
1684,39604,1870,6318
1820,33226,1613,23147
1796,12684,1997,7282
1828,11951,1892,31768
1847,41585,1745,23128
1939,39496,1930,7064
1901,11721,2002,7107
1796,11839,1813,30496
1727,12842,1715,34509
1720,39467,1644,28130
2776,12884,2373,21652
1726,12440,1750,31413
1854,12211,2589,23181
1768,12712,1734,19964
1887,12136,1900,23806
1913,12341,1947,29129
1810,14344,1862,15197
2298,15536,1606,7021
1875,12258,1909,7117
2494,11995,1625,25424
2047,25502,2305,6120
1769,12591,2494,37444
1897,11526,1787,20135
1801,12104,1757,37919
1805,11378,1792,27992
1940,12554,1595,23512
1735,34079,1904,18884
1959,13162,1875,7190
1862,13134,2486,6327
1865,11307,1769,24376
1833,13209,1718,24876
1604,14673,1791,8259
1811,12267,1593,25577
1647,12107,1765,33572
1923,11897,1799,6717
1885,42497,1744,26772
2141,11364,2261,6875
1825,28942,2117,21466
1773,12178,1703,7492
2393,12028,1855,6042
2335,15163,1944,22256
2452,32545,1993,6567
1774,27355,2027,6523
2625,11643,2281,6827
1986,14394,1798,18073
1763,12124,1621,6860
1843,12781,1703,7324
1734,40631,1904,22101
1801,13197,1837,23495
2205,11733,1894,28183
1804,11903,1778,6503
1943,12677,1615,7023
1560,10762,1753,21470
1620,11849,2069,7117
1788,11544,2715,27753
2314,12053,1643,24782
1861,36841,1764,25380
1798,13369,1805,7178
1691,12231,1702,31458
2157,13074,1573,7252
2408,32557,1835,6604
2113,13140,1778,20423
1805,39960,1997,22507
1802,11748,1648,25014
2254,14887,1774,26023
1704,12790,2481,7537
1733,12098,1945,7667
1771,12946,1991,25255
1731,12462,2596,33616
1823,15277,1823,23039
1667,11827,1779,30064
2278,13648,1815,23820
1726,12076,2103,29902
1846,12485,2373,7128
2028,12600,1770,22579
1726,11964,2807,7014
2194,13997,1818,7830
2041,12572,2369,25888
1818,14102,1881,7338
1628,11433,1594,24480
2221,12397,1791,15062
1961,11201,2628,36223
1638,12601,1893,23672
1905,12871,1969,6344
2194,12909,1802,7229
2320,12808,2309,23971
2056,11750,1783,22861
1873,40628,2228,20432
1832,12412,1941,26642
1897,14043,1733,16226
2051,12280,1724,26545
1773,13146,1699,5999
1857,11798,2179,33107
2141,39652,1760,6915
1682,11774,2071,7123
2145,36896,1644,29149
1841,12200,1795,22112
2343,11479,1818,25120
2386,12232,1720,23701
1821,11869,2349,23237
1769,12594,1910,7251
1794,40458,1784,22981
2137,12340,2092,27315
1815,12678,1849,7395
2143,12066,1676,34564
2317,12977,1753,22129
2242,12144,1523,7095
2201,12676,1699,7065
1924,11915,2183,24406
2354,11712,2117,33981
2040,12265,2467,22986
1874,13156,1762,19597
2215,41123,1767,6904
2087,12525,1698,6649
1823,11756,1729,26514
1813,14514,1828,7521
1641,14776,1676,27097
1817,16815,1730,6301
1732,16726,1798,24730
1834,12116,1924,24640
1803,11278,1729,6015
1829,42031,1873,6002
1841,10920,1686,21406
1701,11961,1784,30078
1868,43210,1802,7019
1792,34545,2387,26840
1774,12488,1778,33135
2487,13372,2072,6623
1965,11857,1850,26130
1836,13426,2210,7941
1703,30745,1846,6769
1800,12427,1748,7073
1829,12378,1679,28876
1866,13122,1609,7155
1826,32016,1763,22885
1874,11419,2169,5922
2146,14195,2253,6344
2050,11830,2135,27413
1770,12538,2166,26335
1847,11906,2241,7182
1722,12834,2315,6145
1769,12493,1674,24112
1824,11818,1967,29864
1883,12941,2219,7542
2264,35545,1699,21615
2197,12349,1715,21330
2130,12863,2433,25849
1864,12257,1934,29614
1708,12653,1818,7566
2593,12175,2210,26097
1568,11479,1804,19298
1973,11413,1695,6451
2024,12437,2057,7449
2057,32765,1664,5892
1724,12796,2434,23742
1916,13240,1854,24945
1891,36759,1804,26190
1985,12809,1755,24961
1798,22163,1882,34519
2092,37918,2062,6270
1952,13679,1863,6950
2159,12104,1781,6721
1818,11187,1797,25385
1936,12455,2307,35275
2010,14927,1951,7306
2150,12481,1687,27620
1664,13612,1849,26528
1803,38440,2262,23484
1746,12278,1803,7436
1768,12675,1651,26032
2037,12552,2395,7285
1639,12488,1978,24903
1795,12948,1748,6692
1973,11270,2438,26307
1734,38805,2248,7395
2033,28879,2059,7394
1911,36355,1717,21333
2598,11879,1871,6982
2019,10727,1879,22794
1704,40158,1884,31626
2237,40651,1722,6577
1896,12296,2281,28279
1689,12773,1868,26528
1741,11362,2296,6220
1961,12672,1534,7168
2211,12223,1968,25671
1741,11531,1905,30455
1695,11876,1870,23482
1968,13578,2205,7628
1695,13045,1768,24000
1818,39612,1402,20426
1898,12452,1774,25812
1794,14094,1710,6656
1906,16964,2132,22821
1874,13609,1715,31623
1716,12838,2432,25495
1682,12861,2175,7401
1801,14187,1836,28297
1682,36121,1718,21029
1761,12924,1872,6767
1810,10874,1581,21237
2134,12009,1586,23825
2213,38021,2050,6905
2404,39174,1743,20385
1855,12723,1803,6375
1795,14291,2153,19911
1787,12098,1762,7500
2707,12298,1776,6305
2153,13634,1734,26078
2302,14937,1608,28042
1754,33993,1805,19238
2341,38304,1854,25232
1758,12588,2363,25146
1811,12404,1786,24349
2290,11427,1789,21264
1819,14606,2589,26217
1881,13520,1767,24833
1908,11520,2368,19750
2072,31001,2606,18761
2343,40832,2174,22357
2010,12629,1915,7540
1705,12215,1693,25649
1797,14849,1702,26247
1645,11998,1758,7150
1903,43077,1765,29498
2392,11540,1865,6648
1825,12733,2172,7290
2485,30194,1810,5586
1995,37860,1737,21517
1799,12030,1946,6076
1706,42979,2108,26392
1902,12379,1673,7019
2288,11552,1816,36206
1783,12592,1891,33772
1802,12702,1735,35483
1901,13680,1717,24283
1791,38733,1695,23876
1729,11986,1634,24364
1830,35646,1767,22347
2483,12980,1915,31970
1929,12650,2146,31673
1749,11158,1785,21958
1810,11416,1802,21157
1792,28179,2110,6482
1705,11643,1757,26750
1830,11789,2401,7063
1813,11609,1666,25260
1975,16230,1995,19208
2302,12538,1778,6459
1853,13138,2201,7415
1757,12922,2251,7368
2277,12191,1902,25703
2457,12334,1662,24747
1818,37261,2210,24852
1805,10792,1804,20569
2114,11935,1825,35286
1657,40341,2352,6189
1762,40703,1902,24836
2321,12304,1867,6555
1827,12652,1754,6806
1811,12131,1690,6964
1709,14154,1869,22041
1747,39497,1853,21875
1821,12781,2059,21676
2259,28400,2107,25544
1782,12458,1807,7564
2076,15803,1759,30806
1697,12648,1721,6608
2569,13993,1758,23717
1856,41560,1851,22251
2249,12347,1715,36976
1617,12026,1778,7757
2084,13659,1906,6441
1769,11592,1807,6014
1740,12784,1706,23647
2614,11814,1678,7035
1918,12133,1711,22681
1902,11845,1675,7506
1944,11837,1821,23298
1674,34075,1872,6914
1656,12082,1902,18705
2440,14604,1947,5942
1737,12101,1887,23820
1801,12864,1867,26810
1846,12437,1720,30283
1808,11902,1694,19101
1830,12360,1879,7190
2680,12677,1696,7165
1615,12546,1855,34836
1945,11796,1784,22463
1791,12214,1801,26315
1831,11293,1959,12758
1642,35087,1714,24453
1795,25808,1963,7063
1800,11581,2085,7233
2432,12236,2210,23767
1727,12332,1737,29749
1728,11433,1931,28944
2328,10671,1748,25445
2624,12189,2508,25587
1827,41545,887,25728
1657,12347,1683,23338
1725,12399,1742,27991
2376,37052,1587,23526
1814,30642,1786,20708
1761,11594,1537,23606
1856,29466,1696,25926
1986,28876,1709,25642
1973,12159,2424,26535
2615,12011,1782,33445
1734,14394,1963,21012
1859,11186,1868,21126
1977,12333,1860,21072
1819,35081,2002,7235
1848,39068,1712,27175
1919,12346,1456,27409
1663,13923,1809,24854
2496,13921,1778,25478
1883,33967,1891,35594
2146,12047,1790,6867
1537,12439,2237,7707
1852,12513,2279,21320
1770,12735,2287,7311
1811,12208,2255,7146
1948,12452,2236,24171
1849,12639,1902,7523
1893,12141,1683,21916
1699,42171,1697,23226
1762,12013,1966,35869
1736,13086,1734,6704
1748,26191,1665,28178
2331,13110,1723,6596
2823,12123,1756,28729
1930,12977,1725,24252
1812,27585,1905,21157
1812,12069,2043,7390
2120,12949,2118,25000
1837,12277,1743,22644
2235,43816,1731,6228
2296,35687,1796,22099
2209,13817,1555,26494
2423,12692,2046,21646
1696,12080,1652,21951
2119,42481,2367,25926
2506,11649,878,35856
1701,12241,1939,27951
1928,11873,1874,25120
1947,12594,1865,32371
1624,12416,1912,6988
1859,12720,1787,32819
1633,12730,1768,21373
1792,12425,2414,7062
2401,12085,1698,25002
1656,12694,2402,7724
2273,12310,2466,7325
1895,11377,2352,27762
1935,12218,1881,19095
2140,12802,1640,25127
1933,13007,2236,24607
2323,18840,1888,21188
1719,15125,2271,18252
1755,11791,1670,7283
1763,30415,1692,22733
1875,17166,1819,5999
2262,11979,1763,6752
1924,11127,2574,24089
2642,12381,1761,25334
1911,12621,2263,7613
2457,11706,1677,7392
1884,12398,1533,7234
1834,12635,1747,7287
1724,11573,1650,28759
1878,12385,1762,6139
1932,11608,1825,27003
1954,11972,1986,6572
1840,12230,1685,30036
2448,12480,1642,35719
